2024-12-16 10:40:09.5399|DEBUG|Hosting starting 
2024-12-16 10:40:09.8783|DEBUG|Hosting started 
2024-12-16 10:40:52.9930|DEBUG|Hosting starting 
2024-12-16 10:41:09.0284|DEBUG|Hosting started 
2024-12-16 10:49:42.7940|DEBUG|Hosting starting 
2024-12-16 10:49:45.6656|DEBUG|Hosting started 
2024-12-16 11:21:23.6857|DEBUG|Hosting starting 
2024-12-16 11:21:23.9470|DEBUG|Hosting started 
2024-12-16 11:24:38.2554|DEBUG|Hosting starting 
2024-12-16 11:24:38.6411|DEBUG|Hosting started 
2024-12-16 11:33:11.1706|DEBUG|Hosting starting 
2024-12-16 11:33:11.6376|DEBUG|Hosting started 
2024-12-16 11:47:41.5726|DEBUG|Hosting starting 
2024-12-16 11:47:42.0550|DEBUG|Hosting started 
2024-12-16 11:50:49.2908|DEBUG|Hosting starting 
2024-12-16 11:50:49.6116|DEBUG|Hosting started 
2024-12-16 11:55:07.6300|DEBUG|Hosting starting 
2024-12-16 11:55:07.9332|DEBUG|Hosting started 
